Data;Hora;Profissional;Categoria Serviço;Serviço;Cliente;Sexo;Valor;Fechamento Conta;Status
04/05/2023;10:30;Profissional 4;Mãos e Pés;Manicure;Cliente 10;Feminino;27;Fechada;Finalizado
04/05/2023;13:30;Profissional 6;Mãos e Pés;Manicure e Pedicure;Cliente 11;Feminino;45;Fechada;Finalizado
04/05/2023;16:00;Profissional 4;Mãos e Pés;Manicure e Pedicure;Cliente 12;Feminino;45;Fechada;Finalizado
04/05/2023;16:00;Profissional 3;Cuidados com Cabelo;Corte FEMININO;Cliente 12;Feminino;120;Fechada;Finalizado
04/05/2023;17:30;Profissional 6;Mãos e Pés;Manicure;Cliente 13;Feminino;27;Fechada;Finalizado
05/05/2023;09:00;Profissional 4;Mãos e Pés;Manicure;Cliente 14;Feminino;27;Fechada;Finalizado
05/05/2023;10:00;Profissional 4;Mãos e Pés;Manicure;Cliente 15;Feminino;27;Fechada;Finalizado
05/05/2023;11:00;Profissional 2;Cuidados com Cabelo;Coloração Keune;Cliente 16;Feminino;155;Fechada;Finalizado
05/05/2023;12:30;Profissional 4;Mãos e Pés;Manicure e Pedicure;Cliente 17;Feminino;45;Fechada;Finalizado
05/05/2023;12:30;Profissional 1;Cuidados com Cabelo;Aplicação de Coloração do cliente raiz;Cliente 17;Feminino;90;Fechada;Finalizado
05/05/2023;12:30;Profissional 1;Cuidados com Cabelo;Hidratação Senscience, Olorche, Keune, Joico P;Cliente 17;Feminino;155;Fechada;Finalizado
05/05/2023;14:00;Profissional 4;Mãos e Pés;Manicure;Cliente 18;Feminino;27;Fechada;Finalizado
05/05/2023;16:00;Profissional 3;Sobrancelha;Design de Sobrancelha;Cliente 19;Feminino;50;Fechada;Finalizado
05/05/2023;16:30;Profissional 5;Cuidados com Cabelo;Escova G;Cliente 20;Feminino;65;Fechada;Finalizado
05/05/2023;16:30;Profissional 4;Mãos e Pés;Manicure;Cliente 20;Feminino;27;Fechada;Finalizado
05/05/2023;17:30;Profissional 5;Cuidados com Cabelo;Null;Cliente 20;Feminino;35;Fechada;Finalizado
05/05/2023;18:30;Profissional 5;Cuidados com Cabelo;Coloração Keune;Cliente 21;Feminino;230;Fechada;Finalizado
06/05/2023;09:00;Profissional 4;Mãos e Pés;Manicure e Pedicure;Cliente 22;Feminino;45;Fechada;Finalizado
06/05/2023;09:00;Profissional 3;Cuidados com Cabelo;Corte FEMININO;Cliente 23;Feminino;120;Fechada;Finalizado
06/05/2023;10:00;Profissional 1;Cuidados com Cabelo;Hidratação Takae P;Cliente 23;Feminino;100;Fechada;Finalizado
06/05/2023;10:00;Profissional 3;Cuidados com Cabelo;Escova M;Cliente 23;Feminino;65;Fechada;Finalizado
06/05/2023;10:30;Profissional 2;Cuidados com Cabelo;Escova G;Cliente 24;Feminino;65;Fechada;Finalizado
06/05/2023;10:30;Profissional 4;Mãos e Pés;Manicure;Cliente 24;Feminino;27;Fechada;Finalizado
06/05/2023;10:30;Profissional 2;Cuidados com Cabelo;Aplicação de Coloração do cliente raiz;Cliente 25;Feminino;90;Fechada;Finalizado
06/05/2023;10:30;Profissional 6;Mãos e Pés;Manicure;Cliente 25;Feminino;27;Fechada;Finalizado
06/05/2023;10:30;Profissional 2;Cuidados com Cabelo;Hidratação Senscience, Olorche, Keune, Joico G;Cliente 25;Feminino;165;Fechada;Finalizado
06/05/2023;11:30;Profissional 2;Cuidados com Cabelo;Null;Cliente 24;Feminino;35;Fechada;Finalizado
06/05/2023;12:30;Profissional 4;Mãos e Pés;Manicure;Cliente 26;Feminino;27;Fechada;Finalizado
06/05/2023;14:00;Profissional 4;Mãos e Pés;Manicure;Cliente 27;Feminino;27;Fechada;Finalizado
06/05/2023;14:30;Profissional 1;Cuidados com Cabelo;Realinhamento Capilar Salvatore;Cliente 28;Feminino;250;Fechada;Finalizado
06/05/2023;15:00;Profissional 6;Mãos e Pés;Manicure e Pedicure;Cliente 29;Feminino;45;Fechada;Finalizado
06/05/2023;16:00;Profissional 2;Cuidados com Cabelo;Reconstrução JOICO K-PAK,OLORCHE OU CPR G;Cliente 30;Feminino;161;Fechada;Finalizado
09/05/2023;09:30;Profissional 4;Mãos e Pés;Manicure e Pedicure;Cliente 6;Feminino;45;Fechada;Finalizado
09/05/2023;10:00;Profissional 5;Cuidados com Cabelo;Coloração Keune;Cliente 31;Feminino;155;Aberta;Confirmado
09/05/2023;10:00;Profissional 3;Cuidados com Cabelo;Escova P;Cliente 23;Feminino;45;Fechada;Finalizado
09/05/2023;13:30;Profissional 4;Mãos e Pés;Manicure e Pedicure;Cliente 32;Feminino;45;Fechada;Finalizado
09/05/2023;13:30;Profissional 1;Cuidados com Cabelo;Escova M;Cliente 32;Feminino;146;Fechada;Finalizado
09/05/2023;13:30;Profissional 6;Mãos e Pés;Manicure e Pedicure;Cliente 33;Feminino;45;Fechada;Finalizado
09/05/2023;13:30;Profissional 5;Cuidados com Cabelo;Reconstrução JOICO K-PAK,OLORCHE OU CPR G;Cliente 33;Feminino;161;Fechada;Finalizado
09/05/2023;15:00;Profissional 6;Mãos e Pés;Esmaltação - Mãos;Cliente 34;Feminino;15;Fechada;Finalizado
09/05/2023;15:00;Profissional 1;Cuidados com Cabelo;Null;Cliente 1;Feminino;35;Fechada;Finalizado
09/05/2023;15:00;Profissional 1;Cuidados com Cabelo;Escova G;Cliente 1;Feminino;65;Fechada;Finalizado
09/05/2023;15:30;Profissional 4;Mãos e Pés;Manicure;Cliente 35;Feminino;22,5;Fechada;Finalizado
09/05/2023;15:30;Profissional 6;Mãos e Pés;Pedicure;Cliente 35;Feminino;22,5;Fechada;Finalizado
09/05/2023;16:00;Profissional 6;Mãos e Pés;Esmaltação - Mãos;Cliente 1;Feminino;15;Fechada;Finalizado
10/05/2023;10:30;Profissional 6;Mãos e Pés;Manicure e Pedicure;Cliente 36;Feminino;45;Fechada;Finalizado
10/05/2023;11:00;Profissional 4;Mãos e Pés;Manicure e Pedicure;Cliente 4;Feminino;45;Fechada;Finalizado
10/05/2023;11:30;Profissional 5;Cuidados com Cabelo;Escova M;Cliente 4;Feminino;55;Fechada;Finalizado
10/05/2023;13:00;Profissional 2;Cuidados com Cabelo;Escova G;Cliente 37;Feminino;70;Fechada;Finalizado
10/05/2023;13:00;Profissional 3;Cuidados com Cabelo;Hidratação Senscience, Olorche, Keune, Joico P;Cliente 37;Feminino;70;Fechada;Finalizado
10/05/2023;13:00;Profissional 4;Mãos e Pés;Manicure e Pedicure;Cliente 37;Feminino;45;Fechada;Finalizado
10/05/2023;17:00;Profissional 4;Mãos e Pés;Manicure e Pedicure;Cliente 38;Feminino;45;Aberta;Cancelado
11/05/2023;09:00;Profissional 4;Mãos e Pés;Pedicure;Cliente 39;Feminino;27;Fechada;Finalizado
11/05/2023;09:00;Profissional 5;Cuidados com Cabelo;Coloração Keune;Cliente 39;Feminino;175;Fechada;Finalizado
11/05/2023;09:00;Profissional 5;Cuidados com Cabelo;Hidratação Senscience, Olorche, Keune, Joico P;Cliente 39;Feminino;155;Fechada;Finalizado
11/05/2023;09:00;Profissional 3;Cuidados com Cabelo;Corte FEMININO;Cliente 39;Feminino;120;Fechada;Finalizado
11/05/2023;09:00;Profissional 3;Mãos e Pés;Base;Cliente 39;Feminino;39,9;Fechada;Finalizado
11/05/2023;10:30;Profissional 4;Mãos e Pés;Manicure;Cliente 7;Feminino;27;Fechada;Finalizado
11/05/2023;10:30;Profissional 2;Cuidados com Cabelo;Escova G;Cliente 7;Feminino;65;Fechada;Finalizado
11/05/2023;11:30;Profissional 3;Cuidados com Cabelo;Corte FEMININO;Cliente 40;Feminino;120;Fechada;Finalizado
11/05/2023;11:30;Profissional 3;Sobrancelha;Design de Sobrancelha;Cliente 40;Feminino;50;Fechada;Finalizado
11/05/2023;12:30;Profissional 4;Mãos e Pés;Manicure e Pedicure;Cliente 41;Feminino;45;Fechada;Finalizado
11/05/2023;12:30;Profissional 2;Cuidados com Cabelo;Reconstrução JOICO K-PAK,OLORCHE OU CPR M;Cliente 42;Feminino;146;Fechada;Finalizado
11/05/2023;12:30;Profissional 3;Sobrancelha;Design de Sobrancelha;Cliente 42;Feminino;50;Fechada;Finalizado
11/05/2023;12:30;Profissional 3;Cuidados com Cabelo;MATIZAÇÃO M;Cliente 42;Feminino;60;Fechada;Finalizado
11/05/2023;14:30;Profissional 4;Mãos e Pés;Manicure e Pedicure;Cliente 43;Feminino;45;Fechada;Finalizado
11/05/2023;16:00;Profissional 4;Mãos e Pés;Manicure;Cliente 44;Feminino;27;Fechada;Finalizado
11/05/2023;17:00;Profissional 3;Sobrancelha;Design de Sobrancelha;Cliente 38;Feminino;50;Fechada;Finalizado
11/05/2023;17:00;Profissional 4;Mãos e Pés;Manicure e Pedicure;Cliente 38;Feminino;45;Fechada;Finalizado
12/05/2023;10:00;Profissional 1;Cuidados com Cabelo;Escova G;Cliente 1;Feminino;65;Fechada;Finalizado
12/05/2023;10:00;Profissional 1;Cuidados com Cabelo;Null;Cliente 1;Feminino;35;Fechada;Finalizado
12/05/2023;10:30;Profissional 5;Cuidados com Cabelo;Terapia Capilar pacote;Cliente 5;Feminino;175;Fechada;Finalizado
12/05/2023;10:30;Profissional 4;Mãos e Pés;Manicure;Cliente 5;Feminino;27;Fechada;Finalizado
12/05/2023;10:30;Profissional 4;Mãos e Pés;Esmaltação  - ESPECIAL;Cliente 5;Feminino;20;Fechada;Finalizado
12/05/2023;12:00;Profissional 4;Mãos e Pés;Manicure;Cliente 18;Feminino;27;Fechada;Finalizado
12/05/2023;13:00;Profissional 4;Mãos e Pés;Manicure e Pedicure;Cliente 45;Feminino;45;Fechada;Finalizado
12/05/2023;13:00;Profissional 4;Mãos e Pés;Esmaltação  - ESPECIAL;Cliente 45;Feminino;20;Fechada;Finalizado
12/05/2023;13:00;Profissional 2;Cuidados com Cabelo;Coloração Keune;Cliente 45;Feminino;250;Fechada;Finalizado
12/05/2023;14:00;Profissional 6;Mãos e Pés;Manicure e Pedicure;Cliente 46;Feminino;45;Aberta;Cancelado
12/05/2023;14:00;Profissional 6;Mãos e Pés;SPA de pés;Cliente 46;Feminino;35;Aberta;Cancelado
12/05/2023;15:00;Profissional 4;Mãos e Pés;Esmaltação - Mãos;Cliente 1;Feminino;15;Fechada;Finalizado
12/05/2023;16:00;Profissional 4;Mãos e Pés;Manicure e Pedicure;Cliente 47;Feminino;45;Fechada;Finalizado
12/05/2023;16:00;Profissional 3;Sobrancelha;Design de Sobrancelha;Cliente 47;Feminino;50;Fechada;Finalizado
13/05/2023;08:30;Profissional 5;Cuidados com Cabelo;Escova P;Cliente 23;Feminino;45;Fechada;Finalizado
13/05/2023;09:00;Profissional 3;Cuidados com Cabelo;Corte FEMININO;Cliente 48;Feminino;95;Fechada;Finalizado
13/05/2023;09:00;Profissional 6;Mãos e Pés;Manicure e Pedicure;Cliente 49;Feminino;45;Fechada;Finalizado
13/05/2023;09:00;Profissional 1;Cuidados com Cabelo;Lavar e Secar P;Cliente 48;Feminino;25;Fechada;Finalizado
13/05/2023;09:30;Profissional 4;Mãos e Pés;Manicure e Pedicure;Cliente 50;Feminino;45;Fechada;Finalizado
13/05/2023;10:00;Profissional 5;Cuidados com Cabelo;Escova G;Cliente 25;Feminino;65;Fechada;Finalizado
13/05/2023;10:00;Profissional 6;Mãos e Pés;Manicure;Cliente 25;Feminino;27;Fechada;Finalizado
13/05/2023;10:00;Profissional 4;Mãos e Pés;Manicure e Pedicure;Cliente 51;Feminino;45;Aberta;Cancelado
13/05/2023;10:00;Profissional 5;Cuidados com Cabelo;Null;Cliente 25;Feminino;35;Fechada;Finalizado
13/05/2023;11:30;Profissional 4;Mãos e Pés;Manicure;Cliente 24;Feminino;27;Fechada;Finalizado
13/05/2023;11:30;Profissional 2;Cuidados com Cabelo;Escova G;Cliente 24;Feminino;65;Fechada;Finalizado
13/05/2023;11:30;Profissional 6;Mãos e Pés;Manicure e Pedicure;Cliente 52;Feminino;45;Fechada;Finalizado
13/05/2023;11:30;Profissional 2;Cuidados com Cabelo;Null;Cliente 24;Feminino;40;Fechada;Finalizado
13/05/2023;11:30;Profissional 3;Sobrancelha;Design de Sobrancelha;Cliente 24;Feminino;50;Fechada;Finalizado
13/05/2023;13:00;Profissional 3;Cuidados com Cabelo;Corte FEMININO;Cliente 53;Feminino;95;Fechada;Finalizado
13/05/2023;13:00;Profissional 1;Cuidados com Cabelo;Null;Cliente 53;Feminino;40;Fechada;Finalizado
13/05/2023;13:00;Profissional 1;Cuidados com Cabelo;Lavar e Secar P;Cliente 53;Feminino;25;Fechada;Finalizado
13/05/2023;13:00;Profissional 3;Sobrancelha;Design de Sobrancelha;Cliente 53;Feminino;50;Fechada;Finalizado
13/05/2023;13:00;Profissional 6;Mãos e Pés;Esmaltação  - ESPECIAL;Cliente 53;Feminino;20;Fechada;Finalizado
13/05/2023;13:00;Profissional 6;Mãos e Pés;Manicure;Cliente 53;Feminino;27;Fechada;Finalizado
13/05/2023;14:00;Profissional 6;Mãos e Pés;Manicure e Pedicure;Cliente 12;Feminino;45;Fechada;Finalizado
13/05/2023;15:30;Profissional 4;Mãos e Pés;Manicure;Cliente 20;Feminino;27;Fechada;Finalizado
13/05/2023;15:30;Profissional 2;Cuidados com Cabelo;Escova G;Cliente 20;Feminino;65;Fechada;Finalizado
13/05/2023;15:30;Profissional 2;Cuidados com Cabelo;Null;Cliente 20;Feminino;35;Fechada;Finalizado
13/05/2023;16:30;Profissional 1;Cuidados com Cabelo;Reconstrução JOICO K-PAK, OLORCHE  OU CPR P;Cliente 38;Feminino;147;Fechada;Finalizado
13/05/2023;16:30;Profissional 6;Mãos e Pés;Esmaltação - Mãos;Cliente 38;Feminino;15;Fechada;Finalizado
16/05/2023;10:00;Profissional 5;Cuidados com Cabelo;Aplicação de Coloração do cliente raiz;Cliente 1;Feminino;80;Fechada;Finalizado
16/05/2023;10:00;Profissional 5;Cuidados com Cabelo;Escova G;Cliente 1;Feminino;65;Fechada;Finalizado
16/05/2023;10:00;Profissional 5;Cuidados com Cabelo;Null;Cliente 1;Feminino;35;Fechada;Finalizado
16/05/2023;10:00;Profissional 6;Manicure;Manutenção Soft Gel;Cliente 1;Feminino;120;Fechada;Finalizado
16/05/2023;11:00;Profissional 4;Mãos e Pés;Manicure e Pedicure;Cliente 54;Feminino;45;Fechada;Finalizado
16/05/2023;11:00;Profissional 2;Cuidados com Cabelo;Coloração Keune;Cliente 54;Feminino;175;Fechada;Finalizado
16/05/2023;11:00;Profissional 2;Cuidados com Cabelo;Nutrição KEUNE YOU M;Cliente 54;Feminino;195;Fechada;Finalizado
16/05/2023;11:30;Profissional 4;Mãos e Pés;Manicure;Cliente 55;Feminino;27;Fechada;Finalizado
17/05/2023;10:00;Profissional 3;Cuidados com Cabelo;Escova P;Cliente 23;Feminino;45;Fechada;Finalizado
17/05/2023;10:00;Profissional 2;Cuidados com Cabelo;Escova M;Cliente 4;Feminino;55;Fechada;Finalizado
17/05/2023;11:00;Profissional 4;Mãos e Pés;Manicure e Pedicure;Cliente 56;Feminino;45;Fechada;Finalizado
17/05/2023;13:00;Profissional 1;Cabelo e Barba;Corte Masculino;Cliente 57;Feminino;60;Fechada;Finalizado
17/05/2023;14:30;Profissional 4;Mãos e Pés;Manicure e Pedicure;Cliente 58;Feminino;45;Fechada;Finalizado
17/05/2023;14:30;Profissional 4;Mãos e Pés;Base;Cliente 58;Feminino;39,9;Fechada;Finalizado
18/05/2023;09:30;Profissional 1;Cuidados com Cabelo;Null;Cliente 1;Feminino;35;Fechada;Finalizado
18/05/2023;09:30;Profissional 1;Cuidados com Cabelo;Escova G;Cliente 1;Feminino;65;Fechada;Finalizado
18/05/2023;09:30;Profissional 2;Cuidados com Cabelo;Reconstrução JOICO K-PAK,OLORCHE OU CPR G;Cliente 59;Feminino;162;Fechada;Finalizado
18/05/2023;09:30;Profissional 6;Mãos e Pés;Pedicure;Cliente 59;Feminino;22,5;Fechada;Finalizado
18/05/2023;09:30;Profissional 4;Mãos e Pés;Manicure;Cliente 59;Feminino;22,5;Fechada;Finalizado
18/05/2023;09:30;Profissional 1;Cuidados com Cabelo;Corte FEMININO;Cliente 59;Feminino;80;Fechada;Finalizado
18/05/2023;09:30;Profissional 3;Sobrancelha;Design de Sobrancelha;Cliente 59;Feminino;35;Fechada;Finalizado
18/05/2023;11:30;Profissional 2;Cuidados com Cabelo;Coloração Keune;Cliente 60;Feminino;90;Fechada;Finalizado
18/05/2023;11:30;Profissional 3;Cuidados com Cabelo;Coloração Keune;Cliente 60;Feminino;100;Fechada;Finalizado
18/05/2023;11:30;Profissional 3;Cuidados com Cabelo;Hidratação Senscience, Olorche, Keune, Joico P;Cliente 60;Feminino;30;Fechada;Finalizado
18/05/2023;11:30;Profissional 5;Cuidados com Cabelo;Hidratação Senscience, Olorche, Keune, Joico P;Cliente 60;Feminino;100;Fechada;Finalizado
18/05/2023;11:30;Profissional 6;Mãos e Pés;Manicure e Pedicure;Cliente 60;Feminino;45;Fechada;Finalizado
18/05/2023;11:30;Profissional 6;Manicure;Postiça Realista;Cliente 60;Feminino;20;Fechada;Finalizado
18/05/2023;13:00;Profissional 2;Cuidados com Cabelo;Coloração Keune;Cliente 16;Feminino;155;Fechada;Finalizado
18/05/2023;14:30;Profissional 5;Cuidados com Cabelo;Null;Cliente 20;Feminino;35;Fechada;Finalizado
18/05/2023;14:30;Profissional 5;Cuidados com Cabelo;Escova G;Cliente 20;Feminino;65;Fechada;Finalizado
18/05/2023;14:30;Profissional 4;Mãos e Pés;Manicure e Pedicure;Cliente 20;Feminino;45;Fechada;Finalizado
19/05/2023;09:00;Profissional 5;Cuidados com Cabelo;Reconstrução JOICO K-PAK,OLORCHE OU CPR M;Cliente 61;Feminino;147;Fechada;Finalizado
19/05/2023;09:00;Profissional 6;Mãos e Pés;Pedicure;Cliente 61;Feminino;22,5;Fechada;Finalizado
19/05/2023;09:00;Profissional 4;Mãos e Pés;Manicure;Cliente 61;Feminino;22,5;Fechada;Finalizado
19/05/2023;10:00;Profissional 1;Cuidados com Cabelo;Escova G;Cliente 6;Feminino;65;Fechada;Finalizado
19/05/2023;10:00;Profissional 4;Mãos e Pés;Manicure e Pedicure;Cliente 6;Feminino;45;Fechada;Finalizado
19/05/2023;11:00;Profissional 6;Mãos e Pés;Manicure e Pedicure;Cliente 49;Feminino;45;Fechada;Finalizado
19/05/2023;11:00;Profissional 5;Cuidados com Cabelo;Reconstrução JOICO K-PAK,OLORCHE OU CPR M;Cliente 49;Feminino;147;Fechada;Finalizado
19/05/2023;11:00;Profissional 6;Mãos e Pés;Manicure e Pedicure;Cliente 49;Feminino;45;Aberta;Cancelado
19/05/2023;11:00;Profissional 2;Cuidados com Cabelo;Escova GG;Cliente 55;Feminino;85;Aberta;Cancelado
19/05/2023;11:00;Profissional 4;Mãos e Pés;Manicure e Pedicure;Cliente 6;Feminino;45;Aberta;Cancelado
19/05/2023;13:00;Profissional 4;Mãos e Pés;Manicure e Pedicure;Cliente 62;Feminino;45;Aberta;Cancelado
19/05/2023;13:00;Profissional 3;Cuidados com Cabelo;Mechas;Cliente 62;Feminino;550;Aberta;Confirmado
19/05/2023;13:30;Profissional 5;Cuidados com Cabelo;Escova M;Cliente 5;Feminino;55;Fechada;Finalizado
19/05/2023;13:30;Profissional 5;Cuidados com Cabelo;Null;Cliente 5;Feminino;40;Fechada;Finalizado
19/05/2023;14:00;Profissional 4;Mãos e Pés;Manicure e Pedicure;Cliente 51;Feminino;45;Fechada;Finalizado
19/05/2023;15:00;Profissional 6;Mãos e Pés;Manicure;Cliente 7;Feminino;27;Fechada;Finalizado
19/05/2023;15:00;Profissional 5;Cuidados com Cabelo;Escova G;Cliente 7;Feminino;65;Fechada;Finalizado
19/05/2023;16:30;Profissional 4;Mãos e Pés;Manicure e Pedicure;Cliente 3;Feminino;45;Fechada;Finalizado
19/05/2023;16:30;Profissional 4;Mãos e Pés;Esmaltação  - ESPECIAL;Cliente 3;Feminino;20;Fechada;Finalizado
20/05/2023;09:00;Profissional 2;Cuidados com Cabelo;Aplicação de Coloração do cliente raiz;Cliente 63;Feminino;90;Fechada;Finalizado
20/05/2023;09:00;Profissional 2;Cuidados com Cabelo;Hidratação Senscience, Olorche, Keune, Joico G;Cliente 63;Feminino;165;Fechada;Finalizado
20/05/2023;09:00;Profissional 3;Cuidados com Cabelo;Corte FEMININO;Cliente 63;Feminino;120;Fechada;Finalizado
20/05/2023;09:00;Profissional 4;Mãos e Pés;Manicure;Cliente 63;Feminino;27;Fechada;Finalizado
20/05/2023;09:00;Profissional 5;Cuidados com Cabelo;Reconstrução JOICO K-PAK, OLORCHE  OU CPR P;Cliente 23;Feminino;132;Fechada;Finalizado
20/05/2023;10:00;Profissional 4;Mãos e Pés;Manicure e Pedicure;Cliente 27;Feminino;45;Aberta;Cancelado
20/05/2023;10:00;Profissional 6;Mãos e Pés;Manicure e Pedicure;Cliente 64;Feminino;45;Fechada;Finalizado
20/05/2023;11:00;Profissional 2;Cuidados com Cabelo;Escova GG;Cliente 55;Feminino;90;Fechada;Finalizado
20/05/2023;11:30;Profissional 3;Sobrancelha;Design de Sobrancelha;Cliente 55;Feminino;50;Fechada;Finalizado
20/05/2023;11:30;Profissional 5;Cuidados com Cabelo;Null;Cliente 18;Feminino;35;Fechada;Finalizado
20/05/2023;11:30;Profissional 1;Cuidados com Cabelo;Escova G;Cliente 18;Feminino;55;Fechada;Finalizado
20/05/2023;12:30;Profissional 4;Mãos e Pés;Manicure e Pedicure;Cliente 32;Feminino;45;Fechada;Finalizado
20/05/2023;13:00;Profissional 2;Cuidados com Cabelo;Escova G;Cliente 65;Feminino;65;Fechada;Finalizado
20/05/2023;13:00;Profissional 2;Cuidados com Cabelo;Null;Cliente 65;Feminino;35;Fechada;Finalizado
20/05/2023;13:00;Profissional 2;Cuidados com Cabelo;Escova e Prancha;Cliente 65;Feminino;25;Fechada;Finalizado
20/05/2023;13:00;Profissional 5;Cuidados com Cabelo;Escova M;Cliente 66;Feminino;45;Fechada;Finalizado
20/05/2023;13:00;Profissional 1;Cuidados com Cabelo;Corte FEMININO;Cliente 66;Feminino;120;Fechada;Finalizado
20/05/2023;13:00;Profissional 3;Sobrancelha;Design de Sobrancelha;Cliente 66;Feminino;50;Fechada;Finalizado
20/05/2023;13:00;Profissional 4;Mãos e Pés;Manicure e Pedicure;Cliente 66;Feminino;45;Fechada;Finalizado
20/05/2023;14:00;Profissional 4;Mãos e Pés;Manicure;Cliente 27;Feminino;22,5;Fechada;Finalizado
20/05/2023;14:00;Profissional 6;Mãos e Pés;Pedicure;Cliente 27;Feminino;22,5;Fechada;Finalizado
20/05/2023;15:30;Profissional 4;Mãos e Pés;Manicure e Pedicure;Cliente 26;Feminino;45;Fechada;Finalizado
20/05/2023;16:00;Profissional 6;Mãos e Pés;Manicure e Pedicure;Cliente 67;Feminino;45;Fechada;Finalizado
20/05/2023;16:00;Profissional 6;Mãos e Pés;Esmaltação  - ESPECIAL;Cliente 67;Feminino;20;Fechada;Finalizado
20/05/2023;16:00;Profissional 3;Cuidados com Cabelo;Corte FEMININO;Cliente 67;Feminino;120;Fechada;Finalizado
20/05/2023;16:00;Profissional 5;Cuidados com Cabelo;Reconstrução JOICO K-PAK,OLORCHE OU CPR G;Cliente 67;Feminino;180;Fechada;Finalizado
20/05/2023;17:00;Profissional 4;Mãos e Pés;Manicure;Cliente 38;Feminino;27;Fechada;Finalizado
20/05/2023;17:00;Profissional 4;Mãos e Pés;Pedicure;Cliente 38;Feminino;18;Fechada;Finalizado
20/05/2023;17:00;Profissional 3;Cuidados com Cabelo;Corte FEMININO;Cliente 68;Feminino;85;Fechada;Finalizado
20/05/2023;17:00;Profissional 5;Cuidados com Cabelo;Lavar e Secar P;Cliente 68;Feminino;35;Fechada;Finalizado
23/05/2023;11:30;Profissional 2;Cuidados com Cabelo;Coloração Keune;Cliente 9;Feminino;155;Fechada;Finalizado
23/05/2023;13:00;Profissional 5;Cuidados com Cabelo;Escova G;Cliente 1;Feminino;65;Fechada;Finalizado
